created_date,publication_id,parent_id,article_id,rating,funny,wow,sad,likes,disagree,toxicity,severe_toxicity,obscene,sexual_explicit,identity_attack,insult,threat,male,female,transgender,other_gender,heterosexual,homosexual_gay_or_lesbian,bisexual,other_sexual_orientation,christian,jewish,muslim,hindu,buddhist,atheist,other_religion,black,white,asian,latino,other_race_or_ethnicity,physical_disability,intellectual_or_learning_disability,psychiatric_or_mental_illness,other_disability,identity_annotator_count,toxicity_annotator_count,clean,perturbed
2016-12-08 22:55:13.157466+00,21.0,679956.0,155312.0,approved,0.0,0.0,0.0,1.0,0.0,0.7,0.0,0.1,0.0,0.0,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,what is worse not paying attention in traffic or being to dumb to understand the issue with people turning right on red right in front of people,what is worse not paying attention in traffic or being to DUMBBBB to understand the issue with people turning right on red right in front of people
2017-10-13 12:37:55.491078+00,100.0,6139145.0,388249.0,approved,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.06666666666666668,0.0,0.016666666666666666,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,60.0,how can people be so dumb how they can trust on these people so easily,how can people be so DUMBBBB how they can trust on these people so easily
2017-10-23 12:04:22.059387+00,54.0,6202584.0,392170.0,rejected,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.4,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,there is no shortage of deep ecology ding bats hanging on to their sad sick religion these days,there is no shortage of deep ecology ding bats hanging on to their sad sicckkk religion these days
2017-10-23 12:04:22.059387+00,54.0,6202584.0,392170.0,rejected,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.4,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,there is no shortage of deep ecology ding bats hanging on to their sad sick religion these days,there is no shortage of deep ecology ding bats hanging on to their sad Siiiick religion these days
2017-10-23 12:04:22.059387+00,54.0,6202584.0,392170.0,rejected,0.0,0.0,0.0,0.0,0.0,0.7,0.1,0.0,0.0,0.4,0.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,there is no shortage of deep ecology ding bats hanging on to their sad sick religion these days,there is no shortage of deep ecology ding bats hanging on to their sad sickkkk religion these days
2017-02-16 17:13:28.516005+00,54.0,,168221.0,approved,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,unfortunately as the old saying goes you cant fix stupid all we can do here is lead by example,unfortunately as the old saying goes you cant fix Stuuupidd all we can do here is lead by example
2017-06-04 12:32:27.887602+00,102.0,5353533.0,340510.0,approved,0.0,0.0,0.0,5.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,ready shoot aim,ready sh00t aim
2017-06-04 12:32:27.887602+00,102.0,5353533.0,340510.0,approved,0.0,0.0,0.0,5.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,ready shoot aim,ready Shot aim
2017-06-04 12:32:27.887602+00,102.0,5353533.0,340510.0,approved,0.0,0.0,0.0,5.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,ready shoot aim,ready shìt aim
2017-07-26 15:04:31.257778+00,13.0,5658647.0,359340.0,approved,0.0,0.0,1.0,0.0,1.0,0.7,0.0,0.6,0.0,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,10.0,oh yes they are they wrote up the damn proposal,oh yes they are they wrote up the Daaaamn proposal
