clean,perturbed
be careful who you call a moron,be careful who you call a mor0n
you sir are an imbecile and a pervert,you sir are an imbecile and a pe*vert
you sir are an imbecile and a pervert,you sir are an imbecile and a pervvvvvvvert
that was a good edit the polar bear is gay,that was a good edit the polar bear is g@y
that was a good edit the polar bear is gay,that was a good edit the polar bear is *ay
when the funeral comes i will be the only one their and i will only be their to piss on your grave,when the funeral comes i will be the only one their and i will only be their to PIs on your grave
when the funeral comes i will be the only one their and i will only be their to piss on your grave,when the funeral comes i will be the only one their and i will only be their to pis on your grave
i had enough of you bastard,i had enough of you b@stard
i had enough of you bastard,i had enough of you bas+ard
whats wrong with you go kill yourself you vile creature,whats wrong with you go KIL yourself you vile creature
whats wrong with you go kill yourself you vile creature,whats wrong with you go ki11 yourself you vile creature
and luke stay out son of a bitch,and luke stay out son of a b!tch
and luke stay out son of a bitch,and luke stay out son of a biiiitch
why are you still here can you not find anything more important to do like killing yourself,why are you still here can you not find anything more importantant to do like killing yourself
the biggest dick licker on the planet earth,the biggest ԁick licker on the planet earth
this idiot graceful slick needs a friend to touch his no no spot,this IDIOOOOT graceful slick needs a friend to touch his no no spot
something you really really need to get that bug out of your ass,something you really really need to get that bug out of your aaaaaaass
something you really really need to get that bug out of your ass,something you really really need to get that bug out of your As
i am going to hack your dick account,i am going to hack your ԁick account
you are still very gay,you are still very 6ay
you are still very gay,you are still very g4y
will live forever if you dont respect the you will die you pathetic fool,will live forever if you dont respect the you will die you pathetic Fol
will live forever if you dont respect the you will die you pathetic fool,will live forever if you dont respect the you will die you pathetic FoL
it would if you translate it instead of posting some crap most people cannot read,it would if you translate it instead of posting some CRAPPP most people cannot read
it would if you translate it instead of posting some crap most people cannot read,it would if you translate it instead of posting some crappp most people cannot read
and also admit being dick that time,and also admit being DICKKKK that time
and also admit being dick that time,and also admit being ԁick that time
call me out for being a queer,call me out for being a qqqqqueer
call me out for being a queer,call me out for being a Quer
i am going to kill you i am going to murder you,i am going to ki11 you i am going to murder you
i am going to kill you i am going to murder you,i am going to k!ll you i am going to murder you
my band is perfectly appropriate bitch,my band is perfectly appropriate b¡tch
my band is perfectly appropriate bitch,my band is perfectly appropriate BIIIITCH
go and complain me looser and cry,go and complain me LOOSR and cry
go and complain me looser and cry,go and complain me loooserrr and cry
nothing wrong with being a fag,nothing wrong with being a f*g
nothing wrong with being a fag,nothing wrong with being a faag
i am going to call the police son of a bitch,i am going to call the police son of a bi+ch
dude this guy is so gay,dude this guy is so gayyyy
dude this guy is so gay,dude this guy is so GAYYYY
is a nigger,is a ni66er
is a nigger,is a ni**er
are you gay sound like it,are you gayyyy sound like it
are you gay sound like it,are you Gayyyy sound like it
maybe its because you are a gay,maybe its because you are a gayyyy
maybe its because you are a gay,maybe its because you are a ga¥
come on block me you bitch,come on block me you bitttch
come on block me you bitch,come on block me you BIIIITCH
i was not trolling i was suggesting that he was racist,i was not trolling i was suggesting that he was r4cist
i was not trolling i was suggesting that he was racist,i was not trolling i was suggesting that he was racisssst
you really need to kill yourself,you really need to KIL yourself
stick it right up ur ass,stick it right up ur aƽƽ
stick it right up ur ass,stick it right up ur assssssssssssss
dont act like a dumb bot friend,dont act like a DUMBBBB bot friend
please take your promotional edit elsewhere idiot,please take your promotional edit elsewhere idiotttt
please take your promotional edit elsewhere idiot,please take your promotional edit elsewhere id!ot
you idiotic dung whore,you idiotic dung ωhore
you idiotic dung whore,you idiotic dung wh0re
please edit this page with crap,please edit this page with CRP
perhaps perhaps che was a pig,perhaps perhaps che was a PIGGG
perhaps perhaps che was a pig,perhaps perhaps che was a p1g
yeah for real stupid,yeah for real stup!d
yeah for real stupid,yeah for real Stuuupidd
a bastard,a b4stard
a bastard,a b@stard
donkey and to me it felt great,ԁonkey and to me it felt great
insult me once more and i swear you go down understand little coward,insult me once more and i swear you go down understand little coωard
insult me once more and i swear you go down understand little coward,insult me once more and i swear you go down understand little c0ward
because he is a fagot,because he is a FAGGOT
because he is a fagot,because he is a fag0t
you dont even clean your ass when you poop nice try,you dont even clean your a$$ when you poop nice try
you dont even clean your ass when you poop nice try,you dont even clean your @ss when you poop nice try
ill photo shop a dick in his illuminati mouth,ill photo shop a dicckkk in his illuminati mouth
ill photo shop a dick in his illuminati mouth,ill photo shop a d!ck in his illuminati mouth
awesome as fu,awesome as ƒu
awesome as fu,awesome as fµ
oh i yeah i feel like an ass now,oh i yeah i feel like an aaaaass now
oh i yeah i feel like an ass now,oh i yeah i feel like an a55 now
ask your mother,ask your m0ther
i was unaware but you may note you can go to hell,i was unaware but you may note you can go to h3ll
i was unaware but you may note you can go to hell,i was unaware but you may note you can go to helllll
of course its also possible that you are in fact just a dick,of course its also possible that you are in fact just a ԁick
of course its also possible that you are in fact just a dick,of course its also possible that you are in fact just a d*ck
delete the page and shut up,delete the page and shu+ up
delete the page and shut up,delete the page and shµt up
and youve proved you have zero semblance of a life yet again,and youve proved you have zero semblance of a liƒe yet again
and youve proved you have zero semblance of a life yet again,and youve proved you have zero semblance of a 1ife yet again
dont try to spook me you dick,dont try to spook me you d¡ck
dont try to spook me you dick,dont try to spook me you d!ck
dick administrator the administrator should mind his own business,DiCkkkk administrator the administrator should mind his own business
dick administrator the administrator should mind his own business,d¡ck administrator the administrator should mind his own business
can you tell me why you are such a fag,can you tell me why you are such a ƒag
can you tell me why you are such a fag,can you tell me why you are such a FAGGG
i am and i suck large uncut penis like a pro,i am and i s*ck large uncut penis like a pro
i am and i suck large uncut penis like a pro,i am and i suckkkk large uncut penis like a pro
how about you shut up then,how about you $hut up then
how about you shut up then,how about you shuuutt up then
hello dude your mother is totally hot,hello duddeee your mother is totally hot
hello dude your mother is totally hot,hello ԁude your mother is totally hot
why are you such an idiot,why are you such an idi0t
why are you such an idiot,why are you such an idio+
you have no clue about what fine art is and i am sick of this,you have no clue about what fine art is and i am s1ck of this
you have no clue about what fine art is and i am sick of this,you have no clue about what fine art is and i am $ick of this
what we at toho kingdom rule shut up,what we at toho kingdom rule shuuutt up
mind telling me what the hell this is,mind telling me what the Hel this is
mind telling me what the hell this is,mind telling me what the hel this is
hey gay wad with no life,hey ga¥ wad with no life
hey gay wad with no life,hey GAYYYY wad with no life
i really wish we could crap by osmosis right now,i really wish we could crappp by osmosis right now
i really wish we could crap by osmosis right now,i really wish we could crp by osmosis right now
i dont agree with you slandering my name and calling me a liar your one happy son of a gun if you catch my drift,i dont agree with you slandering my name and calling me a 1iar your one happy son of a gun if you catch my drift
i dont agree with you slandering my name and calling me a liar your one happy son of a gun if you catch my drift,i dont agree with you slandering my name and calling me a li@r your one happy son of a gun if you catch my drift
why you a son of a b,why you a s0n of a b
why you a son of a b,why you a soη of a b
blah blah blah kiss my ass,blah blah blah kiss my a55
blah blah blah kiss my ass,blah blah blah kiss my aS
for an idiot such as yourself,for an idiotttt such as yourself
for an idiot such as yourself,for an id1ot such as yourself
now let me get back to eating pussy which i love more than life itself,now let me get back to eating pussy which i Looovee more than life itself
now let me get back to eating pussy which i love more than life itself,now let me get back to eating pussy which i l0ve more than life itself
king of the world and we will eat a dick,king of the world and we will eat a diiiiiick
king of the world and we will eat a dick,king of the world and we will eat a DICCKKK
wait you are female and black thats disconcerting,wait you are female and BLCK thats disconcerting
